ReviewID,ASIN,CustomerName,ReviewTitle,ReviewText,Rating,ReviewDate,VerifiedPurchase,HelpfulVotes,CustomerLocation
AMZ-R200000,AMZ-P107501,Stacey Powers,What daughter set team glass by team.,Hand chance level health war only. Move guess impact rule door.,5,2023-06-27,No,86,"East Chad, Algeria"
AMZ-R200001,AMZ-P113596,Andrew Tate,Sister can charge adult.,Suggest nearly result may. Trade get scientist attack rock part amount.,3,2022-10-24,No,53,"West Danielle, Congo"
AMZ-R200002,AMZ-P113329,Danny Greer,Argue door up letter.,Relationship enough thought very son this method.,3,2025-03-20,Yes,95,"Kevinbury, Egypt"
AMZ-R200003,AMZ-P118084,Jeffrey Holder,Manager doctor clear only always seat agency store.,Type describe bit Congress.,4,2025-02-21,Yes,32,"New Petertown, Togo"
AMZ-R200004,AMZ-P118702,Anthony Johnston,Pretty compare phone particular.,Practice product station physical itself remain night.,1,2025-02-26,Yes,39,"Meyersfurt, Jersey"
AMZ-R200005,AMZ-P110266,Jeffrey Montoya DDS,Lot show notice.,Few everything relate top investment drop. Happy base each.,1,2024-10-05,Yes,19,"East Robert, Northern Mariana Islands"
AMZ-R200006,AMZ-P100881,Matthew Wilson,Range low hand note language suddenly clearly.,My main wide eight life white let decision. Anyone send trip there police center class.,1,2024-06-14,No,44,"Carrieshire, Mongolia"
AMZ-R200007,AMZ-P102833,Hannah Mendez,Action car over more realize music first each.,Test happen art world address. Follow quality show spring section weight.,4,2024-12-16,Yes,65,"Devinfurt, Monaco"
AMZ-R200008,AMZ-P105803,Loretta Nelson,Much great task fast.,Before interest necessary while share sell past. Thus send report.,4,2023-07-22,Yes,1,"East Laurieborough, Burkina Faso"
AMZ-R200009,AMZ-P113478,Lindsay Howard,Watch opportunity opportunity practice book.,Analysis yeah attention environmental. Wonder allow rather order describe.,3,2022-11-24,No,29,"East Marystad, Guadeloupe"
AMZ-R200010,AMZ-P115279,Jason Hansen,Especially heavy tax.,Head job ok song cold big first. Win two minute why top view rather.,3,2021-10-01,Yes,55,"South Samuelmouth, Australia"
AMZ-R200011,AMZ-P114502,Ryan Williams,Product across be money firm beyond.,Movie budget chance their purpose everyone. Cause those serious ahead knowledge simple care.,3,2022-04-06,Yes,90,"North Jacob, Bolivia"
AMZ-R200012,AMZ-P102176,David Moore,Chance home central hear.,In reduce return ability bring difficult next federal.,3,2022-07-14,No,56,"South Laura, Hong Kong"
AMZ-R200013,AMZ-P111011,Douglas Walsh,Activity story dream these system worker that.,Throughout business size business. Happy center plant firm.,2,2025-01-06,Yes,49,"Port Jack, Saint Barthelemy"
AMZ-R200014,AMZ-P112305,Kristin Ward,Fall north sister investment pass present.,Entire explain center job gas hear.,4,2025-06-13,No,17,"Lake Gabrielport, United States Minor Outlying Islands"
AMZ-R200015,AMZ-P115453,Rebecca Weber,Young ahead color movie.,But true interest over pass.,1,2023-10-18,Yes,59,"Abbottborough, Uruguay"
AMZ-R200016,AMZ-P112426,Courtney Price,Score record media no.,Actually dream foreign.,2,2024-09-17,No,23,"West Melissaburgh, Christmas Island"
AMZ-R200017,AMZ-P111891,Samuel Fitzgerald,Night short budget program get say.,Still grow give hospital bed.,2,2023-04-10,Yes,83,"East Angela, Palestinian Territory"
AMZ-R200018,AMZ-P105636,Alexandra Fry,Term fund from chair despite save.,Part information purpose charge style.,2,2022-07-13,No,62,"West Kathymouth, Bahamas"
AMZ-R200019,AMZ-P110558,Rebecca Robertson,Yet unit write now do carry.,If collection wait new until.,4,2021-10-05,Yes,72,"South Sharon, Svalbard & Jan Mayen Islands"
AMZ-R200020,AMZ-P108883,Jerry Johnson,Member anyone Democrat sense data sound day.,Defense air son seem will process benefit. Leave both single keep democratic industry.,1,2023-02-24,No,84,"New Douglasbury, Malawi"
AMZ-R200021,AMZ-P110091,Kevin Huff,Article building benefit interesting.,Either item make grow economy.,3,2022-04-29,No,97,"South Ashleymouth, Iran"
AMZ-R200022,AMZ-P103586,Jacob Nichols,Family sort agreement.,Through need guy care expert official.,1,2024-08-24,No,95,"Lake Monicaborough, Palestinian Territory"
AMZ-R200023,AMZ-P106763,Julie Ramos,Story six some anything more.,Send international face bad decade.,5,2021-11-08,No,88,"Lake Lauriehaven, United Arab Emirates"
AMZ-R200024,AMZ-P112400,Tina Anderson,Black usually consumer democratic like benefit.,Entire simply prove key. Learn benefit radio free born actually.,1,2024-08-28,No,88,"East Shannonview, Northern Mariana Islands"
AMZ-R200025,AMZ-P119464,Monica Miller,Hair church follow generation.,Long game act color. Institution test four center enter.,5,2021-10-16,No,61,"Ayersburgh, Uruguay"
AMZ-R200026,AMZ-P104960,Ryan Byrd,Door music gas space accept learn budget.,Something scientist realize nearly huge.,5,2022-04-27,Yes,72,"New Donna, Puerto Rico"
AMZ-R200027,AMZ-P108359,Amanda Tate,Federal leave section feel.,Partner watch season address word reality fear. Eat fill century woman close need stage.,3,2022-06-07,Yes,17,"West Scott, Aruba"
AMZ-R200028,AMZ-P115945,Jacqueline Johnson,National budget oil one never common candidate consumer.,Produce scene quickly network contain east.,4,2023-06-24,No,2,"West Kristinafurt, Liberia"
AMZ-R200029,AMZ-P106250,Dustin Terrell,Yes present where enjoy foreign.,Computer fall surface radio. Away his vote individual money.,1,2021-09-19,Yes,7,"South Danielshire, Canada"
AMZ-R200030,AMZ-P118246,Jennifer Moore,Blue if top eye student east home store.,Senior tree along network whatever someone. Traditional hope Republican oil option environment.,2,2024-11-22,Yes,70,"New Elizabeth, Georgia"
AMZ-R200031,AMZ-P115403,Cynthia Farley,Company attorney tend future camera strategy.,Usually generation now nation.,2,2023-05-11,No,19,"Lake Michelle, Czech Republic"
AMZ-R200032,AMZ-P107400,Diana Bird,Business image yard population author term will kid.,Garden place include. Likely election those last surface heavy outside.,3,2022-07-07,Yes,55,"Port Kim, Serbia"
